,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
r_Cluster[0],-4.467,0.372,-5.12,-3.749,0.008,0.009,2332.0,1648.0,1.0
r_Cluster[1],-4.71,0.174,-5.042,-4.385,0.004,0.004,2075.0,1611.0,1.0
r_Cluster[2],-4.549,0.2,-4.928,-4.172,0.004,0.006,2246.0,1416.0,1.0
r_Cluster[3],-4.16,0.13,-4.382,-3.888,0.003,0.003,2242.0,1451.0,1.0
a_Cluster[0],-0.132,0.099,-0.327,0.041,0.003,0.005,1987.0,485.0,1.0
a_Cluster[1],-0.193,0.042,-0.275,-0.121,0.001,0.001,2901.0,1341.0,1.0
a_Cluster[2],-0.166,0.046,-0.252,-0.076,0.001,0.001,2582.0,1317.0,1.0
a_Cluster[3],0.044,0.04,-0.03,0.118,0.001,0.001,3002.0,1454.0,1.0
Zone,0.03,0.172,-0.292,0.354,0.004,0.004,2361.0,1548.0,1.0
WQ,-0.637,0.384,-1.446,0.012,0.008,0.008,2435.0,1753.0,1.0
r_Reef[0],-4.098,0.115,-4.312,-3.887,0.002,0.003,3544.0,1334.0,1.0
r_Reef[1],-4.52,0.097,-4.7,-4.331,0.001,0.003,4755.0,1625.0,1.01
r_Reef[2],-5.063,0.116,-5.279,-4.849,0.002,0.002,3704.0,1727.0,1.0
r_Reef[3],-5.327,0.134,-5.607,-5.094,0.002,0.003,2918.0,1506.0,1.0
r_Reef[4],-4.862,0.116,-5.076,-4.642,0.002,0.002,3066.0,1640.0,1.0
r_Reef[5],-5.475,0.112,-5.68,-5.263,0.002,0.002,3226.0,1377.0,1.01
r_Reef[6],-4.557,0.12,-4.791,-4.339,0.002,0.003,3417.0,1484.0,1.0
r_Reef[7],-4.997,0.102,-5.188,-4.801,0.002,0.003,3710.0,1642.0,1.0
r_Reef[8],-3.999,0.109,-4.209,-3.8,0.002,0.002,3509.0,1557.0,1.0
r_Reef[9],-4.663,0.126,-4.898,-4.425,0.002,0.003,4971.0,1502.0,1.0
r_Reef[10],-4.089,0.108,-4.287,-3.873,0.002,0.003,3768.0,1506.0,1.0
r_Reef[11],-4.597,0.107,-4.798,-4.398,0.002,0.003,2856.0,1502.0,1.0
r_Reef[12],-4.686,0.09,-4.85,-4.521,0.001,0.002,3725.0,1578.0,1.0
r_Reef[13],-4.392,0.075,-4.53,-4.259,0.001,0.002,4715.0,1416.0,1.0
r_Reef[14],-4.491,0.07,-4.617,-4.358,0.001,0.002,4340.0,1430.0,1.0
r_Reef[15],-3.939,0.14,-4.208,-3.689,0.003,0.003,3043.0,1572.0,1.0
r_Reef[16],-4.161,0.112,-4.385,-3.968,0.002,0.003,3342.0,1468.0,1.0
r_Reef[17],-4.093,0.077,-4.234,-3.949,0.001,0.002,2919.0,1555.0,1.0
r_Reef[18],-4.408,0.058,-4.519,-4.304,0.001,0.002,4926.0,1344.0,1.0
r_Reef[19],-3.891,0.138,-4.161,-3.641,0.002,0.004,3662.0,1475.0,1.0
r_Reef[20],-4.259,0.087,-4.427,-4.109,0.001,0.003,4107.0,1303.0,1.01
r_Reef[21],-6.282,0.103,-6.47,-6.094,0.002,0.002,3219.0,1407.0,1.0
r_Reef[22],-4.793,0.06,-4.904,-4.678,0.001,0.001,2680.0,1603.0,1.0
r_Reef[23],-4.358,0.061,-4.463,-4.237,0.001,0.001,3094.0,1660.0,1.0
r_Reef[24],-4.687,0.075,-4.83,-4.549,0.001,0.002,3228.0,1584.0,1.0
r_Reef[25],-4.422,0.157,-4.728,-4.132,0.002,0.004,4069.0,1548.0,1.0
r_Reef[26],-5.002,0.18,-5.354,-4.667,0.003,0.004,2948.0,1281.0,1.0
r_Reef[27],-5.084,0.113,-5.291,-4.865,0.002,0.003,3484.0,1578.0,1.0
r_Reef[28],-4.65,0.09,-4.822,-4.493,0.001,0.002,3755.0,1813.0,1.0
r_Reef[29],-4.325,0.079,-4.469,-4.171,0.001,0.002,4117.0,1333.0,1.0
r_Reef[30],-4.263,0.077,-4.409,-4.119,0.001,0.002,4726.0,1382.0,1.0
r_Reef[31],-5.507,0.122,-5.722,-5.263,0.002,0.003,3440.0,1611.0,1.0
r_Reef[32],-4.369,0.115,-4.592,-4.165,0.002,0.003,4460.0,1606.0,1.0
r_Reef[33],-5.537,0.119,-5.769,-5.321,0.002,0.004,3517.0,1013.0,1.01
r_Reef[34],-4.799,0.109,-4.996,-4.591,0.002,0.003,3386.0,1578.0,1.0
r_Reef[35],-3.279,0.169,-3.602,-2.964,0.003,0.004,2692.0,1636.0,1.0
r_Reef[36],-4.14,0.068,-4.257,-4.008,0.001,0.002,4005.0,1569.0,1.0
r_Reef[37],-4.312,0.067,-4.434,-4.188,0.001,0.002,3873.0,1660.0,1.0
r_Reef[38],-4.534,0.094,-4.701,-4.362,0.001,0.003,4915.0,1373.0,1.0
r_Reef[39],-5.229,0.109,-5.425,-5.023,0.002,0.002,4214.0,1606.0,1.0
r_Reef[40],-4.068,0.147,-4.326,-3.776,0.003,0.003,3405.0,1544.0,1.0
r_Reef[41],-5.064,0.091,-5.23,-4.889,0.002,0.002,3487.0,1417.0,1.0
r_Reef[42],-4.592,0.071,-4.72,-4.457,0.001,0.002,4904.0,1375.0,1.0
r_Reef[43],-4.531,0.073,-4.678,-4.402,0.001,0.002,3524.0,1580.0,1.0
r_Reef[44],-4.392,0.055,-4.49,-4.289,0.001,0.001,3868.0,1687.0,1.0
r_Reef[45],-4.148,0.053,-4.245,-4.047,0.001,0.001,3850.0,1720.0,1.0
a_Reef[0],0.087,0.037,0.017,0.153,0.001,0.001,3421.0,1457.0,1.0
a_Reef[1],-0.032,0.033,-0.093,0.031,0.0,0.001,4903.0,1643.0,1.01
a_Reef[2],-0.207,0.035,-0.268,-0.139,0.001,0.001,3561.0,1729.0,1.0
a_Reef[3],-0.33,0.035,-0.401,-0.267,0.001,0.001,2992.0,1556.0,1.0
a_Reef[4],-0.225,0.031,-0.283,-0.167,0.001,0.001,3250.0,1592.0,1.0
a_Reef[5],-0.377,0.031,-0.432,-0.317,0.001,0.001,3299.0,1454.0,1.01
a_Reef[6],-0.138,0.032,-0.199,-0.076,0.001,0.001,3410.0,1531.0,1.0
a_Reef[7],-0.202,0.032,-0.259,-0.139,0.001,0.001,3836.0,1573.0,1.0
a_Reef[8],0.084,0.032,0.021,0.142,0.001,0.001,3494.0,1363.0,1.0
a_Reef[9],-0.091,0.038,-0.162,-0.02,0.001,0.001,4975.0,1490.0,1.0
a_Reef[10],0.094,0.034,0.027,0.156,0.001,0.001,3887.0,1480.0,1.0
a_Reef[11],-0.075,0.034,-0.133,-0.007,0.001,0.001,2866.0,1486.0,1.0
a_Reef[12],-0.107,0.028,-0.158,-0.056,0.0,0.001,3466.0,1497.0,1.0
a_Reef[13],0.039,0.029,-0.014,0.089,0.0,0.001,4827.0,1497.0,1.0
a_Reef[14],-0.03,0.021,-0.072,0.008,0.0,0.001,4559.0,1383.0,1.0
a_Reef[15],0.114,0.043,0.033,0.191,0.001,0.001,3158.0,1555.0,1.0
a_Reef[16],0.07,0.036,0.004,0.139,0.001,0.001,3448.0,1455.0,1.0
a_Reef[17],0.068,0.025,0.023,0.115,0.0,0.001,2824.0,1649.0,1.0
a_Reef[18],-0.082,0.017,-0.112,-0.048,0.0,0.0,5066.0,1116.0,1.0
a_Reef[19],0.113,0.04,0.037,0.188,0.001,0.001,3714.0,1454.0,1.0
a_Reef[20],0.026,0.028,-0.026,0.075,0.0,0.001,4064.0,1191.0,1.01
a_Reef[21],-0.6,0.027,-0.647,-0.548,0.0,0.001,3319.0,1447.0,1.0
a_Reef[22],-0.045,0.021,-0.083,-0.005,0.0,0.0,2813.0,1412.0,1.0
a_Reef[23],-0.032,0.02,-0.067,0.009,0.0,0.0,2877.0,1607.0,1.0
a_Reef[24],-0.123,0.023,-0.166,-0.08,0.0,0.001,3242.0,1507.0,1.0
a_Reef[25],-0.049,0.045,-0.141,0.031,0.001,0.001,4260.0,1518.0,1.0
a_Reef[26],-0.249,0.048,-0.34,-0.158,0.001,0.001,2913.0,1296.0,1.0
a_Reef[27],-0.272,0.032,-0.335,-0.214,0.001,0.001,3566.0,1553.0,1.01
a_Reef[28],-0.153,0.025,-0.202,-0.109,0.0,0.001,3868.0,1819.0,1.0
a_Reef[29],0.045,0.028,-0.012,0.094,0.0,0.001,4295.0,1392.0,1.0
a_Reef[30],0.059,0.027,0.007,0.108,0.0,0.001,4664.0,1339.0,1.0
a_Reef[31],-0.366,0.033,-0.422,-0.301,0.001,0.001,3442.0,1590.0,1.0
a_Reef[32],0.011,0.036,-0.056,0.078,0.001,0.001,4395.0,1556.0,1.0
a_Reef[33],-0.368,0.035,-0.434,-0.302,0.001,0.001,3305.0,1093.0,1.01
a_Reef[34],-0.21,0.031,-0.265,-0.153,0.001,0.001,3316.0,1513.0,1.0
a_Reef[35],0.392,0.056,0.281,0.49,0.001,0.001,2682.0,1608.0,1.0
a_Reef[36],-0.036,0.018,-0.07,-0.002,0.0,0.0,4060.0,1514.0,1.0
a_Reef[37],-0.031,0.021,-0.071,0.008,0.0,0.001,4023.0,1459.0,1.0
a_Reef[38],-0.082,0.029,-0.137,-0.03,0.0,0.001,4832.0,1314.0,1.0
a_Reef[39],-0.332,0.03,-0.386,-0.277,0.0,0.001,4207.0,1606.0,1.0
a_Reef[40],0.038,0.041,-0.033,0.121,0.001,0.001,3464.0,1567.0,1.0
a_Reef[41],-0.298,0.025,-0.347,-0.254,0.0,0.001,3545.0,1547.0,1.0
a_Reef[42],-0.144,0.02,-0.18,-0.109,0.0,0.0,4671.0,1498.0,1.0
a_Reef[43],-0.204,0.02,-0.242,-0.168,0.0,0.0,3518.0,1554.0,1.0
a_Reef[44],-0.174,0.015,-0.203,-0.147,0.0,0.0,4732.0,1629.0,1.0
a_Reef[45],-0.126,0.014,-0.153,-0.099,0.0,0.0,3726.0,1660.0,1.0
CoTS,-0.172,0.21,-0.494,0.168,0.01,0.028,975.0,500.0,1.0
cots_[0],-0.055,0.041,-0.128,0.027,0.001,0.001,2820.0,1647.0,1.0
cots_[1],-0.158,0.01,-0.176,-0.14,0.0,0.0,3155.0,1537.0,1.0
cots_[2],-0.364,0.015,-0.392,-0.333,0.0,0.0,3230.0,1489.0,1.0
cots_[3],-0.111,0.007,-0.124,-0.096,0.0,0.0,4432.0,1463.0,1.0
Storms,-0.216,1.47,-3.071,0.949,0.207,0.545,153.0,60.0,1.02
Cyclones[0],-0.305,0.008,-0.319,-0.291,0.0,0.0,4851.0,1661.0,1.0
Cyclones[1],-0.239,0.014,-0.265,-0.213,0.0,0.0,3714.0,1502.0,1.0
Cyclones[2],-0.439,0.008,-0.456,-0.425,0.0,0.0,4271.0,1430.0,1.0
Bleaching,-0.162,0.01,-0.18,-0.144,0.0,0.0,3743.0,1495.0,1.0
Disease,-0.03,0.008,-0.043,-0.014,0.0,0.0,2566.0,1850.0,1.0
Unknown,0.086,0.012,0.065,0.109,0.0,0.0,3186.0,1613.0,1.0
Herbivory,-0.047,0.007,-0.062,-0.034,0.0,0.0,4637.0,1555.0,1.0
WQ_bleach,0.183,0.013,0.158,0.206,0.0,0.0,5251.0,1134.0,1.0
WQ_CoTS,-0.569,0.07,-0.699,-0.443,0.001,0.002,3262.0,1598.0,1.0
WQ_Disease,-0.071,0.027,-0.124,-0.022,0.001,0.001,2801.0,1671.0,1.0
WQ_Unknown,0.284,0.023,0.238,0.323,0.0,0.001,4147.0,1542.0,1.0
Z_bleach,-0.027,0.011,-0.048,-0.006,0.0,0.0,4229.0,1695.0,1.0
Z_CoTS,0.034,0.012,0.009,0.056,0.0,0.0,3067.0,1699.0,1.0
Z_Disease,-0.03,0.008,-0.045,-0.015,0.0,0.0,3154.0,1668.0,1.0
Z_Unknown,-0.076,0.011,-0.096,-0.055,0.0,0.0,3291.0,1622.0,1.0
sigma_r[0],0.771,0.266,0.39,1.239,0.006,0.011,2701.0,1583.0,1.0
sigma_r[1],0.444,0.131,0.235,0.672,0.003,0.005,1796.0,1398.0,1.0
sigma_r[2],0.495,0.174,0.26,0.814,0.005,0.01,2158.0,1318.0,1.0
sigma_r[3],0.428,0.105,0.251,0.618,0.002,0.003,2200.0,1697.0,1.0
sigma_a[0],0.273,0.09,0.146,0.425,0.003,0.005,2288.0,1066.0,1.0
sigma_a[1],0.145,0.036,0.085,0.208,0.001,0.001,2652.0,1588.0,1.0
sigma_a[2],0.123,0.042,0.059,0.202,0.001,0.002,2093.0,1450.0,1.0
sigma_a[3],0.147,0.035,0.09,0.217,0.001,0.001,2538.0,1550.0,1.0
SD_CoTS,0.309,0.43,0.061,0.694,0.02,0.099,758.0,650.0,1.0
SD_Storms,1.193,4.218,0.039,3.735,0.443,1.201,149.0,75.0,1.01
